"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"17862","consentA2.html","external-html","0","2.0.0","17878","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","","","","","","","","","","",""
"1577","","fullscreen","1","2.0.0","20473","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","","","","","","","","",""
"2645","","survey-text","2","2.0.0","23142","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","demo","{""Q0"":""20""}","","","","","","","","","",""
"6202","","survey-multi-choice","3","2.0.0","29347","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","{""gender"":""m&aumlnnlich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","32687","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","33575","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","34533","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1850","","html-keyboard-response","7","2.0.0","36384","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"18012","","html-keyboard-response","8","2.0.0","54399","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","55406","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","56411","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_90.jpg"">
      <p class=""person-name"">Kerstin</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","57417","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","58421","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_33.jpg"">
      <p class=""person-name"">Ren&eacute;</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","59426","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","60430","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_74.jpg"">
      <p class=""person-name"">Frank</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","61434","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","62437","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_74.jpg"">
      <p class=""person-name"">Beate</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","63441","26blxckbjh9ndeu","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
