"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"5040","consentA2.html","external-html","0","2.0.0","5044","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1690","","fullscreen","1","2.0.0","7736","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"2504","","survey-text","2","2.0.0","10247","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","","demo","{""Q0"":""26""}","","","","","","","","","",""
"5171","","survey-multi-choice","3","2.0.0","15421","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","15758","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","15807","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","15864","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1365","","html-keyboard-response","7","2.0.0","17230","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"5966","","html-keyboard-response","8","2.0.0","23197","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","24225","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","25236","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_51.jpg"">
      <p class=""person-name"">Zoe</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","26263","822e7wob2q86xb3","true","26","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
