"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"55116","consentA2.html","external-html","0","2.0.0","55145","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","","","","","","","","","","",""
"1458","","fullscreen","1","2.0.0","57616","b3muw65b63ezol0","true","24","weiblich","rechts","andere","true","","","","","","","","","","","",""
"3300","","survey-text","2","2.0.0","60933","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","demo","{""Q0"":""24""}","","","","","","","","","",""
"8390","","survey-multi-choice","3","2.0.0","69325","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""andere""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","77013","b3muw65b63ezol0","true","24","weiblich","rechts","andere","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","77846","b3muw65b63ezol0","true","24","weiblich","rechts","andere","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","79768","b3muw65b63ezol0","true","24","weiblich","rechts","andere","true","","","","false","[]","[]","[]","","","","",""
"2372","","html-keyboard-response","7","2.0.0","82141","b3muw65b63ezol0","true","24","weiblich","rechts","andere","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"30824","","html-keyboard-response","8","2.0.0","112967","b3muw65b63ezol0","true","24","weiblich","rechts","andere","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","113985","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","114997","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_49.jpg"">
      <p class=""person-name"">Klara</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","116020","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","117029","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_28.jpg"">
      <p class=""person-name"">Annalena</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","118053","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","119069","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_17.jpg"">
      <p class=""person-name"">Christina</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","120081","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","121084","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_6.jpg"">
      <p class=""person-name"">Lisa</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","122100","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","18","2.0.0","123107","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_35.jpg"">
      <p class=""person-name"">Bj&ouml;rn</p>
    ","","","",""
"null","","html-keyboard-response","19","2.0.0","124131","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","20","2.0.0","125147","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_38.jpg"">
      <p class=""person-name"">Mathilda</p>
    ","","","",""
"null","","html-keyboard-response","21","2.0.0","126168","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","22","2.0.0","127171","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_10.jpg"">
      <p class=""person-name"">Jonas</p>
    ","","","",""
"null","","html-keyboard-response","23","2.0.0","128184","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","24","2.0.0","129201","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_46.jpg"">
      <p class=""person-name"">Konstantin</p>
    ","","","",""
"null","","html-keyboard-response","25","2.0.0","130214","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","26","2.0.0","131231","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_88.jpg"">
      <p class=""person-name"">Laura</p>
    ","","","",""
"null","","html-keyboard-response","27","2.0.0","132249","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","28","2.0.0","133262","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_15.jpg"">
      <p class=""person-name"">Ayla</p>
    ","","","",""
"null","","html-keyboard-response","29","2.0.0","134292","b3muw65b63ezol0","true","24","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
