"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"5237","consentA2.html","external-html","0","2.0.0","5245","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","","","","","","","","","","","","",""
"1299","","fullscreen","1","2.0.0","7549","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","true","","","","","","","","","","","",""
"2677","","survey-text","2","2.0.0","10230","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","","demo","{""Q0"":""26""}","","","","","","","","","",""
"6724","","survey-multi-choice","3","2.0.0","16957","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","","","{""gender"":""m&aumlnnlich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","23568","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","24260","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","26582","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"3499","","html-keyboard-response","7","2.0.0","30083","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","","",",","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"11222","","html-keyboard-response","8","2.0.0","41306","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","42311","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","43315","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_44.jpg"">
      <p class=""person-name"">Ronja</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","44319","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","45321","b3n3npffhb1n2pv","true","26","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_60.jpg"">
      <p class=""person-name"">Neele</p>
    ","","","",""
