"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"30128","consentA2.html","external-html","0","2.0.0","30177","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1623","","fullscreen","1","2.0.0","32804","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"3198","","survey-text","2","2.0.0","36024","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","demo","{""Q0"":""21""}","","","","","","","","","",""
"6222","","survey-multi-choice","3","2.0.0","42249","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","45577","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","45997","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","46803","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1583","","html-keyboard-response","7","2.0.0","48388","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"8845","","html-keyboard-response","8","2.0.0","57235","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","58242","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","59248","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_60.jpg"">
      <p class=""person-name"">Claudia</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","60252","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","61255","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_22.jpg"">
      <p class=""person-name"">Christoph</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","62259","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","63262","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_9.jpg"">
      <p class=""person-name"">Paul</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","64266","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","65268","eyekfqsse1fjkma","true","21","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_67.jpg"">
      <p class=""person-name"">Paulina</p>
    ","","","",""
