"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"4661","consentA2.html","external-html","0","2.0.0","4669","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"2549","","fullscreen","1","2.0.0","8222","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"2253","","survey-text","2","2.0.0","10488","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","demo","{""Q0"":""25""}","","","","","","","","","",""
"4817","","survey-multi-choice","3","2.0.0","15307","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","16579","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","16864","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","17125","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1519","","html-keyboard-response","7","2.0.0","18646","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"653","","html-keyboard-response","8","2.0.0","19300","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","20304","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","21307","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_38.jpg"">
      <p class=""person-name"">Joel</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","22311","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","23313","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_35.jpg"">
      <p class=""person-name"">Eva</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","24317","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","25319","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_20.jpg"">
      <p class=""person-name"">Carolin</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","26323","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","27325","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_79.jpg"">
      <p class=""person-name"">Peter</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","28328","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","18","2.0.0","29331","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_52.jpg"">
      <p class=""person-name"">Valentina</p>
    ","","","",""
"null","","html-keyboard-response","19","2.0.0","30334","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","20","2.0.0","31336","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_15.jpg"">
      <p class=""person-name"">Celine</p>
    ","","","",""
"null","","html-keyboard-response","21","2.0.0","32340","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","22","2.0.0","33342","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_17.jpg"">
      <p class=""person-name"">Selma</p>
    ","","","",""
"null","","html-keyboard-response","23","2.0.0","34345","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","24","2.0.0","35348","f4ovgy6gjd9q1t9","true","25","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_32.jpg"">
      <p class=""person-name"">Valentin</p>
    ","","","",""
