"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"9426","consentA2.html","external-html","0","2.0.0","9491","fbyqe02g3sz41tg","true","20","weiblich","links","Deutsch","","","","","","","","","","","","",""
"1741","","fullscreen","1","2.0.0","12241","fbyqe02g3sz41tg","true","20","weiblich","links","Deutsch","true","","","","","","","","","","","",""
"3547","","survey-text","2","2.0.0","15807","fbyqe02g3sz41tg","true","20","weiblich","links","Deutsch","","demo","{""Q0"":""20""}","","","","","","","","","",""
"6516","","survey-multi-choice","3","2.0.0","22326","fbyqe02g3sz41tg","true","20","weiblich","links","Deutsch","","","{""gender"":""weiblich"",""handedness"":""links"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","25391","fbyqe02g3sz41tg","true","20","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","25896","fbyqe02g3sz41tg","true","20","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","26765","fbyqe02g3sz41tg","true","20","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"12086","","html-keyboard-response","7","2.0.0","38854","fbyqe02g3sz41tg","true","20","weiblich","links","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"7181","","html-keyboard-response","8","2.0.0","46038","fbyqe02g3sz41tg","true","20","weiblich","links","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","47048","fbyqe02g3sz41tg","true","20","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
