"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"437189","consentA2.html","external-html","0","2.0.0","437321","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","","","","","","","","","","","","",""
"2684","","fullscreen","1","2.0.0","441019","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","true","","","","","","","","","","","",""
"3490","","survey-text","2","2.0.0","444533","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","","demo","{""Q0"":""22""}","","","","","","","","","",""
"11108","","survey-multi-choice","3","2.0.0","455651","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","","","{""gender"":""m&aumlnnlich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","466267","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","467292","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","469970","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"8450","","html-keyboard-response","7","2.0.0","478427","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"65327","","html-keyboard-response","8","2.0.0","543807","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","544834","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","545853","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_84.jpg"">
      <p class=""person-name"">Konstantin</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","546881","gtuhnmaa1jfk519","true","22","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
