"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"84589","consentA2.html","external-html","0","2.0.0","84617","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"2605","","fullscreen","1","2.0.0","88263","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"2989","","survey-text","2","2.0.0","91313","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","","demo","{""Q0"":""28""}","","","","","","","","","",""
"7239","","survey-multi-choice","3","2.0.0","98554","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","103005","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","104056","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","105366","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1559","","html-keyboard-response","7","2.0.0","106927","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"41664","","html-keyboard-response","8","2.0.0","148593","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","149598","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","150602","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_38.jpg"">
      <p class=""person-name"">Manuel</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","151606","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","152609","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_89.jpg"">
      <p class=""person-name"">Sarah</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","153613","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","154617","hjxq114zyq2ojua","true","28","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_18.jpg"">
      <p class=""person-name"">Svenja</p>
    ","","","",""
