"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"50282","consentA2.html","external-html","0","2.0.0","50434","kjv2fupxtprsqzn","true","20","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"2291","","fullscreen","1","2.0.0","53731","kjv2fupxtprsqzn","true","20","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"4087","","survey-text","2","2.0.0","57876","kjv2fupxtprsqzn","true","20","weiblich","rechts","Deutsch","","demo","{""Q0"":""20""}","","","","","","","","","",""
"9326","","survey-multi-choice","3","2.0.0","67205","kjv2fupxtprsqzn","true","20","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","109190","kjv2fupxtprsqzn","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","112377","kjv2fupxtprsqzn","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","121544","kjv2fupxtprsqzn","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"17993","","html-keyboard-response","7","2.0.0","139539","kjv2fupxtprsqzn","true","20","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"5027","","html-keyboard-response","8","2.0.0","144568","kjv2fupxtprsqzn","true","20","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","145579","kjv2fupxtprsqzn","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
