"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"750352","consentA2.html","external-html","0","2.0.0","750403","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1463","","fullscreen","1","2.0.0","752878","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"3327","","survey-text","2","2.0.0","756237","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","demo","{""Q0"":""19""}","","","","","","","","","",""
"7390","","survey-multi-choice","3","2.0.0","763628","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","768287","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","768847","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","769898","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1729","","html-keyboard-response","7","2.0.0","771628","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"12800","","html-keyboard-response","8","2.0.0","784429","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","785433","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","786436","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_21.jpg"">
      <p class=""person-name"">Yara</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","787440","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","788443","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_55.jpg"">
      <p class=""person-name"">Alexander</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","789447","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","790451","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_78.jpg"">
      <p class=""person-name"">Achim</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","791454","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","792458","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_28.jpg"">
      <p class=""person-name"">Joel</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","793462","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","18","2.0.0","794467","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_49.jpg"">
      <p class=""person-name"">Livia</p>
    ","","","",""
"null","","html-keyboard-response","19","2.0.0","795470","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","20","2.0.0","796475","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_53.jpg"">
      <p class=""person-name"">Leon</p>
    ","","","",""
"null","","html-keyboard-response","21","2.0.0","797478","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","22","2.0.0","798483","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_39.jpg"">
      <p class=""person-name"">Greta</p>
    ","","","",""
"null","","html-keyboard-response","23","2.0.0","799486","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","24","2.0.0","800490","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_54.jpg"">
      <p class=""person-name"">Fabian</p>
    ","","","",""
"null","","html-keyboard-response","25","2.0.0","801494","kn4shunt79qg7qu","true","19","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
