"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"12723","consentA2.html","external-html","0","2.0.0","12802","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","","","","","","","","","","",""
"4690","","fullscreen","1","2.0.0","18506","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","","","","","","","","",""
"3926","","survey-text","2","2.0.0","22460","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","demo","{""Q0"":""20""}","","","","","","","","","",""
"6065","","survey-multi-choice","3","2.0.0","28525","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","{""gender"":""m&aumlnnlich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","52585","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","54332","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","59513","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"24345","","html-keyboard-response","7","2.0.0","83858","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"13341","","html-keyboard-response","8","2.0.0","97199","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","98212","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","99338","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_83.jpg"">
      <p class=""person-name"">Anouk</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","100356","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","101364","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_81.jpg"">
      <p class=""person-name"">Oliver</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","102382","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","103389","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_13.jpg"">
      <p class=""person-name"">Ruben</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","104403","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","105419","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_49.jpg"">
      <p class=""person-name"">Michaela</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","106431","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","18","2.0.0","107434","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_8.jpg"">
      <p class=""person-name"">Charlotte</p>
    ","","","",""
"null","","html-keyboard-response","19","2.0.0","108447","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","20","2.0.0","109449","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_94.jpg"">
      <p class=""person-name"">Robert</p>
    ","","","",""
"null","","html-keyboard-response","21","2.0.0","110462","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","22","2.0.0","111463","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_49.jpg"">
      <p class=""person-name"">Axel</p>
    ","","","",""
"null","","html-keyboard-response","23","2.0.0","112487","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","24","2.0.0","113491","kqwhr7a548zm149","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_50.jpg"">
      <p class=""person-name"">Beate</p>
    ","","","",""
