"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"79908","consentA2.html","external-html","0","2.0.0","79946","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1774","","fullscreen","1","2.0.0","82723","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"3660","","survey-text","2","2.0.0","86386","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","","demo","{""Q0"":""24""}","","","","","","","","","",""
"5736","","survey-multi-choice","3","2.0.0","92123","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","95813","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","96492","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","97372","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"2290","","html-keyboard-response","7","2.0.0","99663","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"23865","","html-keyboard-response","8","2.0.0","123528","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","124548","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","125560","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_39.jpg"">
      <p class=""person-name"">Sarah</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","126585","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","127599","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_66.jpg"">
      <p class=""person-name"">Finja</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","128628","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","129640","ldrtcx7peegcnu5","true","24","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_38.jpg"">
      <p class=""person-name"">Tabea</p>
    ","","","",""
