"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"62945","consentA2.html","external-html","0","2.0.0","63165","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","","","","","","","","","","","","",""
"3568","","fullscreen","1","2.0.0","67739","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","true","","","","","","","","","","","",""
"4961","","survey-text","2","2.0.0","72800","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","","demo","{""Q0"":""21""}","","","","","","","","","",""
"9424","","survey-multi-choice","3","2.0.0","82227","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","","","{""gender"":""keine Angabe"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","88308","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","88998","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","90414","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"2628","","html-keyboard-response","7","2.0.0","93043","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"14424","","html-keyboard-response","8","2.0.0","107468","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","108482","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","109494","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_73.jpg"">
      <p class=""person-name"">Carolin</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","110518","lt4bnde7eogss10","true","21","keine Angabe","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
