"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"6843","consentA2.html","external-html","0","2.0.0","7228","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1444","","fullscreen","1","2.0.0","9688","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"3202","","survey-text","2","2.0.0","12898","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","","demo","{""Q0"":""23""}","","","","","","","","","",""
"6627","","survey-multi-choice","3","2.0.0","19527","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","25304","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","25672","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","26223","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"3040","","html-keyboard-response","7","2.0.0","29264","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"9076","","html-keyboard-response","8","2.0.0","38341","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","","","Enter","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","39362","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","40363","pe375fdh2qpb5a8","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_4.jpg"">
      <p class=""person-name"">Anouk</p>
    ","","","",""
