"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"127653","consentA2.html","external-html","0","2.0.0","127682","qnghu83sgcgce55","true","21","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1652","","fullscreen","1","2.0.0","130338","qnghu83sgcgce55","true","21","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"19884","","survey-text","2","2.0.0","150230","qnghu83sgcgce55","true","21","weiblich","rechts","Deutsch","","demo","{""Q0"":""21""}","","","","","","","","","",""
"22710","","survey-multi-choice","3","2.0.0","172943","qnghu83sgcgce55","true","21","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","176642","qnghu83sgcgce55","true","21","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","177087","qnghu83sgcgce55","true","21","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","178277","qnghu83sgcgce55","true","21","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"146936","","html-keyboard-response","7","2.0.0","325216","qnghu83sgcgce55","true","21","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"9350","","html-keyboard-response","8","2.0.0","334567","qnghu83sgcgce55","true","21","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","335579","qnghu83sgcgce55","true","21","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
