"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"7289","consentA2.html","external-html","0","2.0.0","7310","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"2311","","fullscreen","1","2.0.0","10631","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"3527","","survey-text","2","2.0.0","14166","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","demo","{""Q0"":""20""}","","","","","","","","","",""
"6664","","survey-multi-choice","3","2.0.0","20833","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","25106","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","25583","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","26680","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"5097","","html-keyboard-response","7","2.0.0","31779","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"10790","","html-keyboard-response","8","2.0.0","42569","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","43581","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","44585","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_5.jpg"">
      <p class=""person-name"">Jakob</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","45598","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","46602","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_10.jpg"">
      <p class=""person-name"">Annalena</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","47615","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","48620","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_11.jpg"">
      <p class=""person-name"">Nadine</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","49628","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","50635","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_28.jpg"">
      <p class=""person-name"">Ludwig</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","51647","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","18","2.0.0","52651","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_22.jpg"">
      <p class=""person-name"">Guido</p>
    ","","","",""
"null","","html-keyboard-response","19","2.0.0","53662","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","20","2.0.0","54665","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_17.jpg"">
      <p class=""person-name"">Adrian</p>
    ","","","",""
"null","","html-keyboard-response","21","2.0.0","55677","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","22","2.0.0","56680","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_3.jpg"">
      <p class=""person-name"">Robin</p>
    ","","","",""
"null","","html-keyboard-response","23","2.0.0","57688","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","24","2.0.0","58690","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_61.jpg"">
      <p class=""person-name"">Pia</p>
    ","","","",""
"null","","html-keyboard-response","25","2.0.0","59702","r2tew2oah3ybxuz","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
