"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"5150","consentA2.html","external-html","0","2.0.0","5513","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","","","","","","","","","","",""
"1702","","fullscreen","1","2.0.0","8220","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","","","","","","","","",""
"2846","","survey-text","2","2.0.0","11073","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","demo","{""Q0"":""20""}","","","","","","","","","",""
"4662","","survey-multi-choice","3","2.0.0","15738","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","{""gender"":""m&aumlnnlich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","17712","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","18076","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","18610","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"3367","","html-keyboard-response","7","2.0.0","21978","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"438867","","html-keyboard-response","8","2.0.0","460827","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","461832","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","462837","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_37.jpg"">
      <p class=""person-name"">Marlene</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","463841","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","464844","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_18.jpg"">
      <p class=""person-name"">Emma</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","465848","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","466852","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_95.jpg"">
      <p class=""person-name"">Frauke</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","467855","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","468860","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_72.jpg"">
      <p class=""person-name"">Finja</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","469863","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","18","2.0.0","470868","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_40.jpg"">
      <p class=""person-name"">Selma</p>
    ","","","",""
"null","","html-keyboard-response","19","2.0.0","471870","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","20","2.0.0","472875","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_95.jpg"">
      <p class=""person-name"">Holger</p>
    ","","","",""
"null","","html-keyboard-response","21","2.0.0","473877","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","22","2.0.0","474881","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_51.jpg"">
      <p class=""person-name"">Fabienne</p>
    ","","","",""
"null","","html-keyboard-response","23","2.0.0","475883","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","24","2.0.0","476886","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_54.jpg"">
      <p class=""person-name"">Michaela</p>
    ","","","",""
"null","","html-keyboard-response","25","2.0.0","477890","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","26","2.0.0","478893","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_64.jpg"">
      <p class=""person-name"">Anja</p>
    ","","","",""
"null","","html-keyboard-response","27","2.0.0","479896","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","28","2.0.0","480901","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_50.jpg"">
      <p class=""person-name"">Robin</p>
    ","","","",""
"null","","html-keyboard-response","29","2.0.0","481903","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","30","2.0.0","482907","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_76.jpg"">
      <p class=""person-name"">Sebastian</p>
    ","","","",""
"null","","html-keyboard-response","31","2.0.0","483910","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","32","2.0.0","484913","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_69.jpg"">
      <p class=""person-name"">Elisabeth</p>
    ","","","",""
"null","","html-keyboard-response","33","2.0.0","485916","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","34","2.0.0","486920","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_70.jpg"">
      <p class=""person-name"">Marius</p>
    ","","","",""
"null","","html-keyboard-response","35","2.0.0","487923","sl8zzru3t9g4e12","true","20","m&aumlnnlich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
