"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"5681","consentA2.html","external-html","0","2.0.0","5691","tf9ugdubrotw4lv","true","18","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1849","","fullscreen","1","2.0.0","8550","tf9ugdubrotw4lv","true","18","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"2509","","survey-text","2","2.0.0","11064","tf9ugdubrotw4lv","true","18","weiblich","rechts","Deutsch","","demo","{""Q0"":""18""}","","","","","","","","","",""
"7777","","survey-multi-choice","3","2.0.0","18843","tf9ugdubrotw4lv","true","18","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","19748","tf9ugdubrotw4lv","true","18","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","20671","tf9ugdubrotw4lv","true","18","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","21179","tf9ugdubrotw4lv","true","18","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1106","","html-keyboard-response","7","2.0.0","22287","tf9ugdubrotw4lv","true","18","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"1818","","html-keyboard-response","8","2.0.0","24105","tf9ugdubrotw4lv","true","18","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","25127","tf9ugdubrotw4lv","true","18","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
