"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"37565","consentA2.html","external-html","0","2.0.0","37744","ua5hn74qbbfnkx8","true","22","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1947","","fullscreen","1","2.0.0","40707","ua5hn74qbbfnkx8","true","22","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"2333","","survey-text","2","2.0.0","43051","ua5hn74qbbfnkx8","true","22","weiblich","rechts","Deutsch","","demo","{""Q0"":""22""}","","","","","","","","","",""
"7873","","survey-multi-choice","3","2.0.0","50929","ua5hn74qbbfnkx8","true","22","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","58448","ua5hn74qbbfnkx8","true","22","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","60497","ua5hn74qbbfnkx8","true","22","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","62326","ua5hn74qbbfnkx8","true","22","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1672","","html-keyboard-response","7","2.0.0","64001","ua5hn74qbbfnkx8","true","22","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"7382","","html-keyboard-response","8","2.0.0","71384","ua5hn74qbbfnkx8","true","22","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","72398","ua5hn74qbbfnkx8","true","22","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
