"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"7451","consentA2.html","external-html","0","2.0.0","7536","vxzz42lhv8jvxg5","true","21","weiblich","rechts","andere","","","","","","","","","","","","",""
"9696","","fullscreen","1","2.0.0","18293","vxzz42lhv8jvxg5","true","21","weiblich","rechts","andere","true","","","","","","","","","","","",""
"3522","","survey-text","2","2.0.0","21841","vxzz42lhv8jvxg5","true","21","weiblich","rechts","andere","","demo","{""Q0"":""21""}","","","","","","","","","",""
"6920","","survey-multi-choice","3","2.0.0","28770","vxzz42lhv8jvxg5","true","21","weiblich","rechts","andere","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""andere""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","34326","vxzz42lhv8jvxg5","true","21","weiblich","rechts","andere","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","34860","vxzz42lhv8jvxg5","true","21","weiblich","rechts","andere","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","36141","vxzz42lhv8jvxg5","true","21","weiblich","rechts","andere","true","","","","false","[]","[]","[]","","","","",""
"5573","","html-keyboard-response","7","2.0.0","41717","vxzz42lhv8jvxg5","true","21","weiblich","rechts","andere","","","CapsLock","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"12337","","html-keyboard-response","8","2.0.0","54057","vxzz42lhv8jvxg5","true","21","weiblich","rechts","andere","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","55073","vxzz42lhv8jvxg5","true","21","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
