"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"32202","consentA2.html","external-html","0","2.0.0","32238","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"1429","","fullscreen","1","2.0.0","34672","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"3164","","survey-text","2","2.0.0","37857","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","demo","{""Q0"":""23""}","","","","","","","","","",""
"6348","","survey-multi-choice","3","2.0.0","44208","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","48964","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","49613","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","50958","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1402","","html-keyboard-response","7","2.0.0","52362","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"2942","","html-keyboard-response","8","2.0.0","55306","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","56312","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","57316","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_63.jpg"">
      <p class=""person-name"">Annika</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","58321","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","59325","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_94.jpg"">
      <p class=""person-name"">Achim</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","60329","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","14","2.0.0","61333","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_92.jpg"">
      <p class=""person-name"">Elias</p>
    ","","","",""
"null","","html-keyboard-response","15","2.0.0","62337","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","16","2.0.0","63340","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_63.jpg"">
      <p class=""person-name"">Alexander</p>
    ","","","",""
"null","","html-keyboard-response","17","2.0.0","64345","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","18","2.0.0","65348","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_22.jpg"">
      <p class=""person-name"">Clemens</p>
    ","","","",""
"null","","html-keyboard-response","19","2.0.0","66353","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","20","2.0.0","67356","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_96.jpg"">
      <p class=""person-name"">Jonas</p>
    ","","","",""
"null","","html-keyboard-response","21","2.0.0","68360","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","22","2.0.0","69364","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_49.jpg"">
      <p class=""person-name"">Konrad</p>
    ","","","",""
"null","","html-keyboard-response","23","2.0.0","70368","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","24","2.0.0","71372","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_68.jpg"">
      <p class=""person-name"">Johanna</p>
    ","","","",""
"null","","html-keyboard-response","25","2.0.0","72376","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","26","2.0.0","73379","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_31.jpg"">
      <p class=""person-name"">Rosalie</p>
    ","","","",""
"null","","html-keyboard-response","27","2.0.0","74382","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","28","2.0.0","75385","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_69.jpg"">
      <p class=""person-name"">Robin</p>
    ","","","",""
"null","","html-keyboard-response","29","2.0.0","76389","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","30","2.0.0","77392","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_29.jpg"">
      <p class=""person-name"">Verena</p>
    ","","","",""
"null","","html-keyboard-response","31","2.0.0","78396","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","32","2.0.0","79399","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_81.jpg"">
      <p class=""person-name"">Ella</p>
    ","","","",""
"null","","html-keyboard-response","33","2.0.0","80404","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","34","2.0.0","81407","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_24.jpg"">
      <p class=""person-name"">Ralf</p>
    ","","","",""
"null","","html-keyboard-response","35","2.0.0","82411","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","36","2.0.0","83414","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_14.jpg"">
      <p class=""person-name"">Emma</p>
    ","","","",""
"null","","html-keyboard-response","37","2.0.0","84418","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","38","2.0.0","85421","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_91.jpg"">
      <p class=""person-name"">Paul</p>
    ","","","",""
"null","","html-keyboard-response","39","2.0.0","86426","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","40","2.0.0","87429","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_75.jpg"">
      <p class=""person-name"">Lilly</p>
    ","","","",""
"null","","html-keyboard-response","41","2.0.0","88434","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","42","2.0.0","89437","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_68.jpg"">
      <p class=""person-name"">David</p>
    ","","","",""
"null","","html-keyboard-response","43","2.0.0","90441","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","44","2.0.0","91444","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_43.jpg"">
      <p class=""person-name"">Emil</p>
    ","","","",""
"null","","html-keyboard-response","45","2.0.0","92448","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","46","2.0.0","93451","z907dojpy3jg1a3","true","23","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_8.jpg"">
      <p class=""person-name"">Noah</p>
    ","","","",""
