"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct","correct_response_meaning"
"14933","consentA2.html","external-html","0","2.0.0","15070","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","","","","","","","","","","","","",""
"2024","","fullscreen","1","2.0.0","18101","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","true","","","","","","","","","","","",""
"4841","","survey-text","2","2.0.0","22959","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","","demo","{""Q0"":""20""}","","","","","","","","","",""
"6755","","survey-multi-choice","3","2.0.0","29716","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""Deutsch""}","[0,1,2]","","","","","","","","",""
"","","preload","4","2.0.0","40526","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","5","2.0.0","41687","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"","","preload","6","2.0.0","43637","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","true","","","","false","[]","[]","[]","","","","",""
"1863","","html-keyboard-response","7","2.0.0","45502","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","","",""
"5312","","html-keyboard-response","8","2.0.0","50814","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch verschiedene Gesichter angezeigt.</p>
    <p>Bitte achten Sie genau auf jedes Gesicht und den dazugehörigen Namen.</p>
    <p>Die Gesichter erscheinen von selbst und Sie brauchen nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücken Sie eine beliebige Taste, um zu beginnen, wenn Sie bereit sind.</p>
  ","","","",""
"null","","html-keyboard-response","9","2.0.0","51819","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","10","2.0.0","52821","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_70.jpg"">
      <p class=""person-name"">Oskar</p>
    ","","","",""
"null","","html-keyboard-response","11","2.0.0","53825","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
"null","","html-keyboard-response","12","2.0.0","54827","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_42.jpg"">
      <p class=""person-name"">Guido</p>
    ","","","",""
"null","","html-keyboard-response","13","2.0.0","55829","zp9tlt5wx3tj1k6","true","20","weiblich","rechts","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","","",""
